"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"B1","1","CR2032-BS-6-1","","","","easyeda:BAT-TH_CR2032-BS-6-1","https://lcsc.com/product-detail/Battery-Holders-Clips-Contacts_Button-battery-holder-CR2032_C70377.html"
"C1,C2","2","12pF NP0 ±2%, 0402","","","","easyeda:C0402","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_12pF-120-5-50V_C1547.html"
"C3","1","0.3pF","","","","easyeda:C0201","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_muRata_GRM0335C1ER30BA01D_0-3pF-R30-0-1pF-25V_C88909.html"
"C4","1","1.0pF NP0 ±5%, 0402","","","","easyeda:C0402","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_100pF-101-5-50V_C1546.html"
"C5","1","100nF X7R ±10%, 0402","","","","easyeda:C0402","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL05B104KO5NNNC_100nF-104-10-16V_C1525.html"
"C6","1","4.7uF X7R ±10%, 0603","","","","Capacitor_SMD:C_0603_1608Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188Z71A475KE15-01A.pdf"
"C7,C8,C12","3","100pF NP0 ±5%, 0402","","","","easyeda:C0402","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_100pF-101-5-50V_C1546.html"
"C9","1","820pF NP0 ±5%, 0402","","","","easyeda:C0402","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL05B104KO5NNNC_100nF-104-10-16V_C1525.html"
"C10","1","KR-5R5C155-R","","","","KR5R5C155R","https://componentsearchengine.com/Datasheets/2/KR-5R5C155-R.pdf"
"C14,C15","2","1.0µF X7R ±10%, 0603","","","","Capacitor_SMD:C_0603_1608Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188Z71A475KE15-01A.pdf"
"C16","1","4.7nF X7R ±10%","","","","easyeda:C0402","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL05B104KO5NNNC_100nF-104-10-16V_C1525.html"
"C19","1","10uF","","","","easyeda:C0603","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL10A106KP8NNNC_10uF-106-10-10V_C19702.html"
"FL1","1","2450LP14A100T","","","","easyeda:FILTER-SMD_0603-6P-L1.6-W0.8_2450LP14A100T","https://www.lcsc.com/datasheet/C3155782.pdf"
"IC1","1","RFX2401C","","","","QFN50P300X300X60-17N-D",""
"L1","1","4.7nH ±5%, 0402","","","","easyeda:L0402","https://lcsc.com/product-detail/Inductors-SMD_muRata_LQP15MN4N7B02D_4-7nH-0-1nH_C23769.html"
"L2","1","10µH, IDC≥50mA, 0603","","","","easyeda:L0603","https://lcsc.com/product-detail/Inductors-SMD_10uH-10_C1035.html"
"L3","1","47nH","","","","easyeda:L0402","https://lcsc.com/product-detail/Inductors-SMD_muRata_LQW15AN47NG00D_LQW15AN47NG00D_C22334.html"
"L4","1","10µH, IDC≥80mA, 0603","","","","easyeda:L0603","https://lcsc.com/product-detail/Inductors-SMD_10uH-10_C1035.html"
"L5","1","3.9nH ±5%, 0402","","","","easyeda:L0402","https://lcsc.com/product-detail/Inductors-SMD_muRata_LQG15HS2N2S02D_2-2nH-0-3nH_C86061.html"
"L7","1","Bluetooth Antenna","","","","easyeda:ANT-SMD_3P-L3.1-W1.6_ANT3216A063R2400A","https://lcsc.com/product-detail/New-Arrivals_YAGEO-ANT3216A063R2400A_C412135.html"
"R1","1","100Ω","","","","Resistor_SMD:R_0402_1005Metric",""
"SC2","1","3F,2.7V","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm",""
"U1","1","GPS","","","","easyeda:ANT-SMD_L10.0-W3.0","https://lcsc.com/product-detail/Others_Rainsun-microwave-Tech-GPS1003_C239243.html"
"U2","1","ATGM336H-5N31","","","","easyeda:GPSM-SMD_ATGM336H-TR","https://lcsc.com/product-detail/GSM-GPRS-GPS-Modules_ATGM336H-5N-3X_C90770.html"
"U4","1","NRF52840-QIAA-R","","","","easyeda:AQFN-73_L7.0-W7.0-P0.50-BL-EP4.8","https://lcsc.com/product-detail/Others_Nordic-Semicon_NRF52840-QIAA-R_Nordic-Semicon-NRF52840-QIAA-R_C190794.html"
"X1","1","NX2016SA-32MHZ-STD-CZS-5","","","","easyeda:OSC-SMD_4P-L2.0-W1.6-BL","https://www.lcsc.com/datasheet/C843260.pdf"
